Employee ID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,years with company
E02879,Isaac Jung,Manager,IT,Specialty Products,Male,Asian,55,1994-07-12,103726.0,8.0,China,Shanghai,,28.898630136986302
E02486,Emilia Chung,Director,Finance,Manufacturing,Female,Asian,55,1994-11-08,184078.0,28.0,China,Shanghai,,28.572602739726026
E02663,Josiah Lai,Manager,Human Resources,Research & Development,Male,Asian,54,1995-03-21,154658.0,12.0,China,Chongqing,,28.208219178082192
E02671,Serenity Rodriguez,Director,Finance,Corporate,Female,Latino,54,1995-04-10,195662.0,15.0,United States,Columbus,,28.153424657534245
E02186,Logan Reyes,Quality Engineer,Engineering,Corporate,Male,Latino,62,1995-04-10,78251.0,0.0,Brazil,Sao Paulo,3/19/2020,28.153424657534245
E02714,Naomi Ma,Field Engineer,Engineering,Corporate,Female,Asian,55,1995-05-16,67131.0,0.0,United States,Austin,,28.054794520547944
E02143,Madeline Contreras,Analyst,Accounting,Corporate,Female,Latino,51,1995-10-31,59311.0,0.0,Brazil,Sao Paulo,,27.594520547945205
E02538,Liam Luong,Technical Architect,IT,Specialty Products,Male,Asian,58,1995-11-13,88019.0,0.0,United States,Austin,,27.55890410958904
E02962,Piper Oh,Analyst,Marketing,Research & Development,Female,Asian,57,1996-01-23,73117.0,8.081556997219648,United States,Columbus,,27.364383561643837
E02262,Carson Mai,Vice President,Accounting,Corporate,Male,Asian,50,1996-04-15,109961.65939278937,36.0,United States,Columbus,5/16/1996,27.136986301369863
E02149,Caleb Jones,Manager,Marketing,Corporate,Male,Caucasian,57,1996-07-10,122825.0,8.0,United States,Miami,,26.9013698630137
E02084,Sofia Vasquez,Director,Sales,Research & Development,Female,Latino,52,1996-07-29,191455.0,24.0,Brazil,Sao Paulo,,26.84931506849315
E02131,Lillian Cheng,Analyst,Finance,Research & Development,Female,Asian,58,1996-08-20,58208.0,0.0,China,Chengdu,,26.78904109589041
E02619,Aria Cheng,Business Partner,Human Resources,Research & Development,Female,Asian,61,1996-08-26,42829.0,0.0,United States,Columbus,,26.77260273972603
E02203,Ellie Wilson,Director,IT,Manufacturing,Female,Caucasian,65,1996-08-31,164102.0,30.0,United States,Columbus,,26.75890410958904
E02920,Dominic Thao,Analyst,Marketing,Specialty Products,Male,Asian,50,1996-09-08,96297.0,0.0,United States,Miami,,26.736986301369864
E02249,Henry Vo,Controls Engineer,Engineering,Manufacturing,Male,Asian,60,1996-09-13,81699.0,0.0,China,Beijing,,26.723287671232878
E02297,Liliana Valdez,Computer Systems Manager,IT,Corporate,Female,Latino,59,1996-10-01,96507.0,9.0,United States,Seattle,,26.673972602739727
E02291,Eleanor Xi,Manager,Sales,Corporate,Female,Asian,64,1997-01-10,147853.0,11.0,United States,Austin,,26.397260273972602
E02383,Jordan Chen,Analyst,Finance,Specialty Products,Male,Asian,60,1997-01-22,42536.0,0.0,United States,Columbus,,26.364383561643837
E02492,Jaxson Jackson,Enterprise Architect,IT,Specialty Products,Male,Caucasian,53,1997-03-01,63165.0,0.0,United States,Seattle,,26.26027397260274
E02306,Kayden Patel,Development Engineer,Engineering,Research & Development,Male,Asian,54,1997-03-22,67683.0,0.0,China,Beijing,,26.202739726027396
E02497,Vivian Chan,Analyst,Sales,Specialty Products,Female,Asian,61,1997-05-12,72546.0,0.0,China,Beijing,3/29/2021,26.063013698630137
E02497,Vivian Chan,Analyst,Sales,Specialty Products,Female,Asian,61,1997-05-12,109961.65939278937,0.0,China,Beijing,3/29/2021,26.063013698630137
E02533,Lincoln Cruz,Network Architect,IT,Corporate,Male,Latino,64,1997-07-15,72772.0,0.0,Brazil,Manaus,,25.887671232876713
E02017,Luna Lu,IT Systems Architect,IT,Corporate,Female,Asian,62,1997-07-26,64208.0,0.0,United States,Miami,,25.85753424657534
E02665,Serenity Her,Director,Accounting,Specialty Products,Female,Asian,50,1997-08-22,159285.0,15.0,United States,Austin,,25.783561643835615
E02570,Cameron Romero,Manager,Sales,Specialty Products,Male,Latino,49,1997-09-15,108325.0,10.0,Brazil,Manaus,,25.71780821917808
E02528,Jeremiah Medina,Manager,IT,Research & Development,Male,Latino,54,1997-09-28,129311.0,13.0,Brazil,Manaus,,25.682191780821917
E02255,Skylar Xu,Test Engineer,Engineering,Research & Development,Female,Asian,60,1997-10-16,72806.0,0.0,China,Chongqing,,25.632876712328766
E02026,Charles Simmons,Manager,Sales,Specialty Products,Male,Caucasian,55,1997-10-27,113525.0,6.0,United States,Miami,,25.602739726027398
E02887,Caroline Gomez,Sr. Account Representative,Sales,Specialty Products,Female,Latino,65,1997-11-19,109961.65939278937,0.0,Brazil,Sao Paulo,,25.53972602739726
E02900,Aiden Aguilar,Manager,Finance,Research & Development,Male,Latino,62,1997-12-12,100226.0,10.0,United States,Seattle,,25.476712328767125
E02418,Kai Gutierrez,Manager,Marketing,Specialty Products,Male,Latino,63,1997-12-17,148794.0,10.0,Brazil,Manaus,,25.46301369863014
E02375,Nora Herrera,Vice President,Marketing,Specialty Products,Female,Latino,60,1997-12-24,231907.0,38.0,United States,Austin,,25.443835616438356
E02639,Asher Ly,Analyst,Sales,Corporate,Male,Asian,65,1998-01-29,63853.0,0.0,United States,Austin,,25.345205479452055
E02471,Ian Huang,Analyst,Sales,Research & Development,Male,Asian,54,1998-02-07,53931.0,0.0,United States,Columbus,,25.32054794520548
E02781,Robert Padilla,Analyst,Accounting,Manufacturing,Male,Latino,65,1998-02-16,63346.0,0.0,Brazil,Rio de Janeiro,,25.295890410958904
E02510,Ella Do,Account Representative,Sales,Manufacturing,Female,Asian,52,1998-02-28,57433.0,0.0,China,Shanghai,,25.263013698630136
E02708,Grayson Jenkins,Test Engineer,Engineering,Manufacturing,Male,Caucasian,55,1998-03-06,99035.0,0.0,United States,Miami,,25.246575342465754
E02370,Delilah Gonzalez,Analyst,Sales,Manufacturing,Female,Latino,55,1998-03-29,82550.0,0.0,United States,Chicago,,25.183561643835617
E02227,Eva Jimenez,Operations Engineer,Engineering,Corporate,Female,Latino,60,1998-04-13,110554.0,0.0,Brazil,Sao Paulo,,25.14246575342466
E02329,Claire Owens,Network Engineer,IT,Research & Development,Female,Caucasian,52,1998-06-07,75402.0,0.0,United States,Phoenix,,24.991780821917807
E02493,Serenity Mehta,Analyst,Sales,Research & Development,Female,Asian,51,1998-07-21,57277.0,0.0,China,Shanghai,,24.87123287671233
E02493,Serenity Mehta,Analyst,Sales,Research & Development,Female,Asian,51,1998-07-21,109961.65939278937,0.0,China,Shanghai,,24.87123287671233
E02141,Zoe Maldonado,Vice President,Accounting,Corporate,Female,Latino,49,1998-09-25,198222.0,34.0,Brazil,Sao Paulo,,24.69041095890411
E02043,Gianna Jones,Manager,Accounting,Research & Development,Female,Caucasian,48,1998-09-26,119220.0,9.0,United States,Columbus,11/2/2016,24.687671232876713
E02763,Isaiah Vang,Quality Engineer,Engineering,Corporate,Male,Asian,53,1998-11-30,63187.0,0.0,United States,Chicago,,24.50958904109589
E02270,Ava Carrillo,Manager,Accounting,Specialty Products,Female,Latino,63,1999-01-01,149582.0,14.0,United States,Seattle,3/3/2021,24.421917808219177
E02287,Adeline Lai,Manager,Sales,Research & Development,Female,Asian,55,1999-02-08,132894.0,15.0,United States,Chicago,,24.317808219178083
E02009,Miles Chang,Analyst,Finance,Corporate,Male,Asian,62,1999-02-19,69674.0,0.0,China,Chengdu,,24.28767123287671
E02258,Christian Harris,Engineering Manager,Engineering,Specialty Products,Male,Caucasian,50,1999-02-21,96099.0,11.0,United States,Chicago,,24.28219178082192
E02683,Vivian Jackson,Manager,Accounting,Corporate,Female,Black,51,1999-02-23,148942.0,13.0,United States,Columbus,7/16/2007,24.276712328767122
E02576,Liam Valdez,Vice President,Human Resources,Research & Development,Male,Latino,55,1999-03-01,227148.0,33.0,Brazil,Sao Paulo,,24.26027397260274
E02245,Audrey Duong,Vice President,Sales,Specialty Products,Female,Asian,55,1999-03-03,213998.0,34.0,United States,Miami,,24.254794520547946
E02669,Nevaeh Lim,Controls Engineer,Engineering,Corporate,Female,Asian,55,1999-03-29,120092.0,0.0,China,Chongqing,,24.183561643835617
E02424,Thomas Smith,Field Engineer,Engineering,Specialty Products,Male,Caucasian,57,1999-04-02,78212.0,0.0,United States,Miami,9/5/2010,24.172602739726027
E02265,Clara Lopez,Director,IT,Research & Development,Female,Latino,52,1999-08-09,166699.0,27.0,Brazil,Sao Paulo,,23.81917808219178
E02160,Gabriella Choi,Analyst,Accounting,Manufacturing,Female,Asian,56,1999-08-15,72925.0,0.0,United States,Seattle,,23.802739726027397
E02603,Leah Ali,HRIS Analyst,Human Resources,Specialty Products,Female,Asian,62,1999-08-20,51454.0,0.0,United States,Seattle,,23.78904109589041
E02060,Jacob Cheng,Director,Sales,Manufacturing,Male,Asian,47,1999-11-26,155890.0,17.0,United States,Columbus,11/27/2003,23.52054794520548
E02190,Ezra Tan,Manager,Finance,Corporate,Male,Asian,49,1999-12-22,158028.0,12.0,China,Chengdu,,23.44931506849315
E02107,Parker Joseph,Systems Analyst,IT,Specialty Products,Male,Caucasian,53,2000-01-21,55039.0,0.0,United States,Seattle,,23.367123287671234
E02820,Avery Valdez,HRIS Analyst,Human Resources,Research & Development,Female,Latino,58,2000-01-29,62686.0,0.0,United States,Phoenix,,23.345205479452055
E02589,Christian Liu,Director,Accounting,Research & Development,Male,Asian,57,2000-03-29,178447.0,22.0,China,Chengdu,,23.18082191780822
E02211,Ezekiel Jenkins,Service Desk Analyst,IT,Specialty Products,Male,Caucasian,63,2000-04-11,109961.65939278937,0.0,United States,Seattle,,23.145205479452056
E02211,Ezekiel Jenkins,Service Desk Analyst,IT,Specialty Products,Male,Caucasian,63,2000-04-11,99215.0,0.0,United States,Seattle,,23.145205479452056
E02464,Sophia Wang,Analyst,Marketing,Specialty Products,Female,Asian,50,2000-05-20,48733.0,0.0,United States,Seattle,,23.03835616438356
E02762,Greyson Munoz,Manager,Marketing,Research & Development,Male,Latino,62,2000-06-23,158614.0,14.0,Brazil,Rio de Janeiro,,22.945205479452056
E02450,Aubrey Moreno,Computer Systems Manager,IT,Research & Development,Female,Latino,57,2000-06-30,97083.0,6.0,United States,Austin,11/26/2008,22.926027397260274
E02674,Sadie Chin,Vice President,Human Resources,Specialty Products,Female,Asian,51,2000-07-26,199736.0,35.0,United States,Austin,,22.854794520547944
E02880,Christopher Desai,Automation Engineer,Engineering,Research & Development,Male,Asian,46,2000-12-29,114260.0,0.0,China,Chengdu,,22.427397260273974
E02592,Isaac Foster,Manager,Accounting,Specialty Products,Male,Caucasian,48,2001-01-06,103051.0,9.0,United States,Phoenix,,22.405479452054795
E02221,Avery Lo,Automation Engineer,Engineering,Research & Development,Female,Asian,47,2001-01-26,104289.0,0.0,United States,Seattle,,22.350684931506848
E02546,Lucy Simmons,Analyst,Accounting,Corporate,Female,Caucasian,56,2001-03-01,73778.0,0.0,United States,Miami,,22.257534246575343
E02681,Jacob Alexander,Business Partner,Human Resources,Specialty Products,Male,Caucasian,45,2001-03-19,50393.0,0.0,United States,Miami,6/17/2011,22.208219178082192
E02206,Kai Singh,Analyst,Finance,Corporate,Male,Asian,52,2001-04-19,47587.0,0.0,United States,Chicago,,22.123287671232877
E02507,Charlotte Owens,Vice President,Engineering,Corporate,Female,Black,59,2001-05-11,196740.0,31.0,United States,Miami,,22.063013698630137
E02337,Grayson Carrillo,Analyst,Accounting,Corporate,Male,Latino,57,2001-06-27,74662.0,0.0,Brazil,Sao Paulo,,21.934246575342467
E02055,Layla Bell,Vice President,Engineering,Corporate,Female,Caucasian,65,2001-07-26,203030.0,31.0,United States,Chicago,,21.854794520547944
E02534,Ezekiel Contreras,Manager,Accounting,Research & Development,Male,Latino,45,2001-08-10,143146.0,14.0,United States,Chicago,,21.813698630136987
E02279,Axel Leung,Business Partner,Human Resources,Corporate,Male,Asian,55,2001-08-17,47696.0,0.0,United States,Seattle,,21.794520547945204
E02366,Aria Molina,Development Engineer,Engineering,Research & Development,Female,Latino,52,2001-10-24,89811.0,0.0,Brazil,Rio de Janeiro,8/20/2022,21.60821917808219
E02686,Ayla Brooks,Analyst,Accounting,Corporate,Female,Caucasian,58,2001-11-21,58336.0,0.0,United States,Miami,,21.53150684931507
E02207,Ryan Rivera,Director,Human Resources,Specialty Products,Male,Latino,53,2001-11-29,179983.0,16.0,United States,Phoenix,,21.50958904109589
E02057,Eliza Kang,Computer Systems Manager,IT,Manufacturing,Female,Asian,63,2002-01-27,76659.0,5.0,United States,Phoenix,,21.34794520547945
E02485,Olivia Maldonado,Test Engineer,Engineering,Research & Development,Female,Latino,63,2002-02-18,86820.0,0.0,United States,Chicago,,21.28767123287671
E02618,Lyla Walker,Analyst,Accounting,Corporate,Female,Caucasian,49,2002-02-18,54633.0,0.0,United States,Chicago,,21.28767123287671
E02117,Chloe Yoon,Network Administrator,IT,Corporate,Female,Asian,65,2002-02-25,83854.0,0.0,United States,Seattle,,21.268493150684932
E02031,Wyatt Dinh,System Administrator ,IT,Specialty Products,Male,Asian,50,2002-03-15,72860.0,0.0,China,Shanghai,,21.21917808219178
E02288,Christopher Vu,Computer Systems Manager,IT,Corporate,Male,Asian,47,2002-03-16,88839.0,5.0,United States,Phoenix,10/28/2014,21.216438356164385
E02415,Angel Dixon,Analyst,Sales,Manufacturing,Male,Caucasian,52,2002-04-01,50775.0,0.0,United States,Seattle,,21.172602739726027
E02650,Jonathan Torres,Analyst,Finance,Manufacturing,Male,Latino,56,2002-04-12,48896.0,0.0,Brazil,Manaus,3/14/2017,21.14246575342466
E02622,Nathan Parker,Engineering Manager,Engineering,Specialty Products,Male,Caucasian,49,2002-04-24,108636.0,10.0,United States,Columbus,,21.10958904109589
E02705,Leilani Martin,Manager,IT,Corporate,Female,Caucasian,56,2002-05-06,156435.0,10.0,United States,Chicago,,21.076712328767123
E02132,Alexander Pena,Analyst,Sales,Specialty Products,Male,Latino,47,2002-05-24,75633.0,0.0,United States,Chicago,,21.027397260273972
E02394,Nicholas Vo,Analyst,Accounting,Corporate,Male,Asian,50,2002-06-01,54646.0,0.0,United States,Seattle,,21.005479452054793
E02482,Quinn Ho,Vice President,Accounting,Research & Development,Female,Asian,45,2002-07-20,200481.0,30.0,United States,Columbus,,20.87123287671233
E02413,Natalia Cheng,Systems Analyst,IT,Corporate,Female,Asian,65,2002-07-29,47919.0,0.0,China,Beijing,,20.846575342465755
E02351,Liam Jimenez,Analyst,Marketing,Research & Development,Male,Latino,52,2002-08-11,95682.0,0.0,United States,Seattle,5/17/2012,20.81095890410959
E02144,Raelynn Espinoza,Analyst,Accounting,Corporate,Female,Latino,46,2002-09-12,44411.0,0.0,Brazil,Manaus,,20.723287671232878
E02483,Caroline Nunez,Vice President,Finance,Manufacturing,Female,Latino,65,2002-12-20,224872.0,39.0,Brazil,Sao Paulo,,20.45205479452055
E02750,Paisley Baker,Test Engineer,Engineering,Manufacturing,Female,Caucasian,58,2002-12-23,86094.0,0.0,United States,Columbus,,20.443835616438356
E02402,Isabella Munoz,Director,Sales,Research & Development,Female,Latino,45,2002-12-25,193154.0,18.0,Brazil,Sao Paulo,,20.438356164383563
E02661,Owen Nelson,Engineering Manager,Engineering,Specialty Products,Male,Caucasian,58,2003-01-06,91729.0,13.0,United States,Chicago,,20.405479452054795
E02204,Peyton Powell,System Administrator ,IT,Research & Development,Female,Caucasian,44,2003-02-16,74431.0,0.0,United States,Phoenix,,20.293150684931508
E02680,Santiago f Turner,Sr. Account Representative,Sales,Research & Development,Male,Caucasian,46,2003-02-24,74912.0,0.0,United States,Phoenix,,20.27123287671233
E02769,Charlotte Pham,Field Engineer,Engineering,Research & Development,Female,Asian,54,2003-02-25,62179.0,0.0,China,Shanghai,,20.268493150684932
E02617,Ezekiel Cooper,Director,IT,Specialty Products,Male,Black,43,2003-03-15,154284.0,25.0,United States,Chicago,,20.21917808219178
E02654,Madison Phan,Manager,IT,Specialty Products,Female,Asian,45,2003-05-10,128115.0,6.0,United States,Austin,,20.065753424657533
E02174,Austin Moua,Test Engineer,Engineering,Research & Development,Male,Asian,46,2003-05-27,79294.0,0.0,China,Chengdu,,20.019178082191782
E02095,Matthew Avila,Computer Systems Manager,IT,Manufacturing,Male,Latino,55,2003-06-17,68592.0,8.0,Brazil,Sao Paulo,,19.96164383561644
E02517,Caleb Chan,Operations Engineer,Engineering,Research & Development,Male,Asian,48,2003-06-24,107586.0,0.0,China,Shanghai,,19.942465753424656
E02300,Natalie Stewart,Network Engineer,IT,Corporate,Female,Caucasian,50,2003-06-30,92344.0,0.0,United States,Phoenix,1/26/2022,19.926027397260274
E02625,Hunter Hu,Manager,Finance,Specialty Products,Male,Asian,64,2003-07-13,100951.0,5.0,United States,Miami,,19.89041095890411
E02240,Ryan Yi,Solutions Architect,IT,Specialty Products,Male,Asian,56,2003-08-17,82758.0,0.0,United States,Seattle,,19.794520547945204
E02115,Quinn Lai,Systems Analyst,IT,Research & Development,Female,Asian,58,2003-08-28,41946.0,0.0,United States,Phoenix,,19.764383561643836
E02066,Wesley Yu,Manager,Sales,Specialty Products,Male,Asian,43,2003-09-24,127175.0,12.0,United States,Seattle,,19.69041095890411
E02818,Christian Ayala,Sr. Account Representative,Sales,Research & Development,Male,Latino,55,2003-09-28,74216.0,0.0,Brazil,Manaus,,19.67945205479452
E02628,Anthony Chu,Manager,Sales,Manufacturing,Male,Asian,61,2003-09-30,101517.0,9.0,United States,Seattle,,19.673972602739727
E02012,Jameson Pena,Systems Analyst,IT,Manufacturing,Male,Latino,49,2003-10-12,40499.0,0.0,United States,Miami,,19.64109589041096
E02518,Ariana Santiago,Network Architect,IT,Research & Development,Female,Latino,54,2003-10-28,88906.0,0.0,United States,Phoenix,,19.5972602739726
E02214,Lyla Turner,Manager,Sales,Specialty Products,Female,Caucasian,51,2003-11-07,109961.65939278937,12.0,United States,Seattle,,19.56986301369863
E02214,Lyla Turner,Manager,Sales,Specialty Products,Female,Caucasian,51,2003-11-07,130862.0,12.0,United States,Seattle,,19.56986301369863
E02746,Nicholas Jiang,Engineering Manager,Engineering,Manufacturing,Male,Asian,62,2003-12-13,80132.0,14.0,China,Chongqing,,19.471232876712328
E02893,Jordan Hernandez,Systems Analyst,IT,Research & Development,Male,Latino,47,2003-12-15,42994.0,0.0,Brazil,Sao Paulo,,19.465753424657535
E02077,Eva Chavez,IT Systems Architect,IT,Specialty Products,Female,Latino,63,2004-01-17,83070.0,0.0,Brazil,Sao Paulo,,19.375342465753423
E02157,Lucas Lo,Analyst,Accounting,Research & Development,Male,Asian,43,2004-01-18,49627.0,0.0,China,Beijing,,19.372602739726027
E02437,Hudson Ha,Field Engineer,Engineering,Manufacturing,Male,Asian,59,2004-02-06,67947.0,0.0,China,Shanghai,,19.32054794520548
E02778,Greyson Moore,Director,Accounting,Corporate,Male,Caucasian,54,2004-02-12,194221.0,16.0,United States,Austin,,19.304109589041097
E02572,Ryan Foster,IT Coordinator,IT,Specialty Products,Male,Caucasian,44,2004-02-22,41275.0,0.0,United States,Austin,6/14/2007,19.276712328767122
E02775,Eleanor Munoz,Analyst,Accounting,Specialty Products,Female,Latino,45,2004-04-07,45323.0,0.0,Brazil,Rio de Janeiro,,19.153424657534245
E02455,Christopher Sharma,System Administrator ,IT,Corporate,Male,Asian,45,2004-04-16,81384.0,0.0,China,Beijing,,19.12876712328767
E02007,Ezra Vu,Network Administrator,IT,Manufacturing,Male,Asian,62,2004-04-22,66227.0,0.0,United States,Phoenix,2/14/2014,19.112328767123287
E02027,Jayden Luu,Director,Accounting,Manufacturing,Male,Asian,64,2004-05-13,184342.0,22.0,China,Beijing,,19.054794520547944
E02606,Cora Munoz,Vice President,Human Resources,Manufacturing,Female,Latino,45,2004-05-17,233342.0,37.0,United States,Austin,,19.043835616438358
E02666,Ariana Turner,Analyst,Accounting,Research & Development,Female,Caucasian,49,2004-06-06,59854.0,0.0,United States,Miami,,18.98904109589041
E02478,Dylan Vu,Manager,Human Resources,Specialty Products,Male,Asian,63,2004-07-22,106481.0,5.0,China,Beijing,,18.863013698630137
E02029,Ivy Thompson,Manager,Marketing,Manufacturing,Female,Caucasian,50,2004-08-11,118900.0,5.0,United States,Seattle,,18.80821917808219
E02448,Lyla Lai,Manager,Human Resources,Specialty Products,Female,Asian,46,2004-08-11,125878.0,10.0,United States,Austin,1/29/2009,18.80821917808219
E02218,Hazel Cho,Vice President,Accounting,Corporate,Female,Asian,63,2004-08-12,193531.0,40.0,China,Shanghai,,18.805479452054794
E02466,Josiah Khan,Cloud Infrastructure Architect,IT,Manufacturing,Male,Asian,57,2004-10-26,86592.0,0.0,China,Chongqing,,18.6
E02764,Lincoln Alvarado,Analyst,Marketing,Manufacturing,Male,Latino,65,2004-12-08,93857.0,0.0,United States,Phoenix,,18.482191780821918
E02112,Hailey Lim,Director,Marketing,Corporate,Female,Asian,47,2005-01-06,192753.0,17.0,China,Chongqing,,18.4027397260274
E02193,Sofia Zhang,Analyst,Finance,Specialty Products,Female,Asian,51,2005-01-11,55368.0,0.0,United States,Chicago,,18.389041095890413
E02829,Ariana Hall,Manager,Human Resources,Corporate,Female,Caucasian,55,2005-01-17,128954.0,5.0,United States,Phoenix,,18.372602739726027
E02047,Savannah Morales,Analyst,Marketing,Corporate,Female,Latino,48,2005-01-26,71542.0,0.0,United States,Chicago,,18.34794520547945
E02136,Jack Rogers,Systems Analyst,IT,Corporate,Male,Black,47,2005-02-01,46202.0,0.0,United States,Phoenix,,18.33150684931507
E02632,Rylee Campos,Manager,Finance,Research & Development,Female,Latino,49,2005-02-09,107461.0,8.0,United States,Seattle,,18.30958904109589
E02408,Julia Gonzalez,Analyst,Finance,Research & Development,Female,Latino,46,2005-02-15,54831.0,0.0,Brazil,Sao Paulo,,18.293150684931508
E02580,Brooklyn Parker,Analyst,Marketing,Specialty Products,Female,Black,60,2005-03-19,85669.0,0.0,United States,Phoenix,,18.205479452054796
E02717,Mila Liang,Manager,Marketing,Research & Development,Female,Asian,63,2005-03-28,106880.0,8.0,United States,Austin,,18.18082191780822
E02537,Elias Maldonado,IT Systems Architect,IT,Manufacturing,Male,Latino,56,2005-04-01,94724.0,0.0,United States,Chicago,,18.16986301369863
E02058,Gabriel Reyes,Manager,Sales,Corporate,Male,Latino,42,2005-06-10,101630.0,8.0,Brazil,Sao Paulo,,17.97808219178082
E02289,Kai Vega,Automation Engineer,Engineering,Manufacturing,Male,Latino,51,2005-06-16,78107.0,0.0,Brazil,Manaus,,17.96164383561644
E02006,Harper Dominguez,Director,Engineering,Corporate,Female,Latino,42,2005-06-18,175391.0,24.0,United States,Austin,,17.956164383561642
E02162,Wyatt Chan,Manager,Finance,Manufacturing,Male,Asian,53,2005-06-28,128226.0,8.0,China,Shanghai,,17.92876712328767
E02784,Owen Scott,Solutions Architect,IT,Research & Development,Male,Black,45,2005-07-17,74777.0,0.0,United States,Austin,,17.876712328767123
E02201,Colton Alexander,Field Engineer,Engineering,Research & Development,Male,Caucasian,45,2005-08-09,76416.0,0.0,United States,Phoenix,,17.813698630136987
E02276,Kinsley Tran,Vice President,Accounting,Manufacturing,Female,Asian,53,2005-09-05,234064.0,33.0,China,Chengdu,,17.73972602739726
E02729,Aubrey Lin,Vice President,Human Resources,Corporate,Female,Asian,51,2005-10-17,193672.0,36.0,United States,Columbus,,17.624657534246577
E02045,Ella Chen,Manager,Accounting,Specialty Products,Female,Asian,45,2005-11-10,114072.0,8.0,United States,Phoenix,,17.55890410958904
E02652,Ezekiel Lai,Analyst,Marketing,Manufacturing,Male,Asian,45,2005-11-26,54742.0,0.0,China,Chengdu,,17.515068493150686
E02299,Ruby Rahman,Business Partner,Human Resources,Manufacturing,Female,Asian,62,2005-12-05,41616.0,0.0,United States,Seattle,,17.49041095890411
E02703,Joshua Maldonado,Sr. Account Representative,Sales,Research & Development,Male,Latino,49,2005-12-22,75814.0,0.0,United States,Chicago,,17.443835616438356
E02397,Cooper Rivera,Manager,Finance,Corporate,Male,Latino,42,2005-12-26,138215.0,12.0,Brazil,Manaus,,17.432876712328767
E02629,Landon Ha,Manager,Finance,Manufacturing,Male,Asian,43,2006-01-30,100822.0,10.0,China,Chongqing,,17.336986301369862
E02382,Sofia Estrada,Controls Engineer,Engineering,Specialty Products,Female,Latino,42,2006-03-26,104916.0,0.0,Brazil,Manaus,,17.186301369863013
E02472,Jayden Ahmed,Manager,IT,Corporate,Male,Asian,51,2006-03-28,140668.0,12.0,China,Chengdu,,17.18082191780822
E02096,Gianna Lim,Analyst,Accounting,Research & Development,Female,Asian,46,2006-04-01,42532.0,0.0,China,Chongqing,,17.16986301369863
E02361,Christian Castro,IT Coordinator,IT,Specialty Products,Male,Latino,40,2006-04-15,43645.0,0.0,United States,Austin,5/9/2008,17.13150684931507
E02357,Abigail Chu,Manager,Human Resources,Manufacturing,Female,Asian,51,2006-04-17,147436.0,11.0,United States,Austin,,17.126027397260273
E02301,Charlotte Lim,Vice President,Accounting,Manufacturing,Female,Asian,55,2006-06-27,196614.0,37.0,United States,Chicago,,16.931506849315067
E02611,Isaac Rojas,System Administrator ,IT,Manufacturing,Male,Latino,60,2006-07-12,82343.0,0.0,United States,Austin,,16.89041095890411
E02454,Sofia Chen,Manager,Finance,Specialty Products,Female,Asian,46,2006-08-27,108003.0,5.0,China,Chengdu,,16.764383561643836
E02858,Madelyn Chavez,Business Partner,Human Resources,Corporate,Female,Latino,43,2006-09-11,59514.0,0.0,Brazil,Rio de Janeiro,,16.723287671232878
